identifier,permalink,shcn,label
a2mb,https://joeeasterly.github.io/go/a2mb,380,Rack One
aypq,https://joeeasterly.github.io/go/aypq,381,Rack Two
gzcr,https://joeeasterly.github.io/go/gzcr,382,Rolling Garment Rack Base
upn5,https://joeeasterly.github.io/go/upn5,38,shelf 38
